legacy_table,module_id,prisma_model,mapping_status,notes
MosMedPerson,M-LEGACY-MOS,,legacy_optional,
MosNation,M-LEGACY-MOS,,legacy_optional,
MosPartionD,M-LEGACY-MOS,,legacy_optional,
MosPartionH,M-LEGACY-MOS,,legacy_optional,
MosPartionType,M-LEGACY-MOS,,legacy_optional,
MosPerson,M-LEGACY-MOS,,legacy_optional,
MosPosFinishD,M-LEGACY-MOS,,legacy_optional,
MosPosFinishH,M-LEGACY-MOS,,legacy_optional,
MosPrivateCompanyAiadaVisitH,M-LEGACY-MOS,,legacy_optional,
MosPrivateCompanyContractH,M-LEGACY-MOS,,legacy_optional,
MosPrivateCompanyD,M-LEGACY-MOS,,legacy_optional,
MosPrivateCompanyDiscountH,M-LEGACY-MOS,,legacy_optional,
MosPrivateCompanyH,M-LEGACY-MOS,,legacy_optional,
MosPrivateCompanykhedmaPriceH,M-LEGACY-MOS,,legacy_optional,
MosRelation,M-LEGACY-MOS,,legacy_optional,
MosRoomD,M-LEGACY-MOS,,legacy_optional,
MosRoomH,M-LEGACY-MOS,,legacy_optional,
MosRoomType,M-LEGACY-MOS,,legacy_optional,
MosSetting,M-LEGACY-MOS,,legacy_optional,
MosSettingD1,M-LEGACY-MOS,,legacy_optional,
MosSettingD2,M-LEGACY-MOS,,legacy_optional,
MosSubCompanyAiadaVisitH,M-LEGACY-MOS,,legacy_optional,
MosSubCompanyContractH,M-LEGACY-MOS,,legacy_optional,
MosSubCompanyD,M-LEGACY-MOS,,legacy_optional,
MosSubCompanyH,M-LEGACY-MOS,,legacy_optional,
MosSubCompanykhedmaPriceH,M-LEGACY-MOS,,legacy_optional,
MosSupervisor,M-LEGACY-MOS,,legacy_optional,
MosTahlelColumn,M-LEGACY-MOS,,legacy_optional,
MosTahlelD,M-LEGACY-MOS,,legacy_optional,
MosTahlelH,M-LEGACY-MOS,,legacy_optional,
MosTahlelPartD,M-LEGACY-MOS,,legacy_optional,
MosTahlelPartH,M-LEGACY-MOS,,legacy_optional,
MosTameenFeah,M-LEGACY-MOS,,legacy_optional,
MosTameenType,M-LEGACY-MOS,,legacy_optional,
Nation,M-UNASSIGNED,,missing,
NewArchiveFiles,M20,,missing,
NewModule,M0,,missing,
NewModuleStore,M0,,missing,
NotAllowedAccount,M1,,missing,
Original,M-UNASSIGNED,,missing,
OtherModulesRights,M0,,missing,
OwnerStatementsD1,M11,,missing,
OwnerStatementsD2,M11,,missing,
OwnerStatementsH,M11,,missing,
PartenerAction,M-UNASSIGNED,,missing,
Person,M3,,missing,
PersonGroup,M3,,missing,
PersonItems,M3,,missing,
PersonItemsValuesD,M3,,missing,
PersonItemsValuesH,M3,,missing,
PivotCostCenter,M1,,missing,
PKTrxDetail,M2,,missing_detail_pattern,
PKTrxDetailSub,M2,,missing,
Place,M-UNASSIGNED,,missing,
POSColorD,M6,,missing,
POSFinish,M6,,missing,
Price,M-UNASSIGNED,,missing,
PriceListD,M-UNASSIGNED,ItemPrice,mapped,
PriceListH,M-UNASSIGNED,PriceList,mapped,
ProdEgg,M-UNASSIGNED,,ignore,
ProductionD,M-UNASSIGNED,,missing,
ProductionH,M-UNASSIGNED,,missing,
ProjectContractD,M13,,missing,
ProjectContractH,M13,,missing,
ProjectContractPayment,M13,,missing,
ProjectD1,M13,,missing,
ProjectD2,M13,,missing,
ProjectH,M13,,missing,
PutEgg,M-UNASSIGNED,,ignore,
Region,M-UNASSIGNED,,missing,
Religon,M-UNASSIGNED,,missing,
RestPayment,M-UNASSIGNED,,missing,
RestPOSD,M6,,missing,
RestPOSFinish,M6,,missing,
RestPOSH,M6,,missing,
RestSetting,M-UNASSIGNED,,missing,
SalesCommD,M5,,missing,
SalesCommH,M5,,missing,
SalesDaribaEshar,M7,,missing,
SalesPolicyD,M5,,missing,
SalesPolicyH,M5,,missing,
SchoolActive,M10,,missing_school,
SchoolAddBooks,M10,,missing_school,
SchoolBook,M10,,missing_school,
SchoolBooksCompany,M10,,missing_school,
SchoolBus,M10,,missing_school,
SchoolClass,M10,,missing_school,
SchoolDisc,M10,,missing_school,
SchoolLevel,M10,,missing_school,
SchoolMainActives,M10,,missing_school,
SchoolMainBooks,M10,,missing_school,
SchoolMoveD,M10,,missing_school,
SchoolMoveH,M10,,missing_school,
SchoolPartener,M10,,missing_school,
SchoolPayment,M10,,missing_school,
SchoolPerson,M10,,missing_school,
SchoolPersonInit,M10,,missing_school,
SchoolPersonOut,M10,,missing_school,
SchoolPersonPayment,M10,,missing_school,
SchoolPersonTake,M10,,missing_school,
SchoolSadadD,M10,,missing_school,
SchoolSadadH,M10,,missing_school,
SchoolSetting,M10,,missing_school,
SchoolStartD,M10,,missing_school,
SchoolStartH,M10,,missing_school,
SchoolSubBooks,M10,,missing_school,
SchoolTaker,M10,,missing_school,
SchoolWorker,M10,,missing_school,
SchoolYear,M10,,missing_school,
SchoolYearNum,M10,,missing_school,
Seller,M3,Delegate,mapped,
ServiceCenter,M-UNASSIGNED,,missing,
Size,M4,,missing,
SpecialCustomerContractD,M-UNASSIGNED,,missing,
SpecialCustomerContractH,M-UNASSIGNED,,missing,
Station1D,M-UNASSIGNED,,missing,
Station1H,M-UNASSIGNED,,missing,
Station2D,M-UNASSIGNED,,missing,
Station2H,M-UNASSIGNED,,missing,
Store,M4,Warehouse,mapped,maps to Warehouse; legacy StoreCode
StoreAdjustDetail,M4,,missing,
StoreAdjustHeader,M4,,missing,
StoreCheckDetail,M4,StocktakingLine,mapped,
StoreCheckHeader,M4,Stocktaking,mapped,
StoreCollDetail,M4,,missing,
StoreCollHeader,M4,,missing,
StoreTransDetail,M4,TransferLine,mapped,
StoreTransHeader,M4,Transfer,mapped,
SubTaxes,M7,,missing,
SubTaxes2,M7,,missing,
Supplier,M3,Supplier,mapped,
sysdiagrams,M-UNASSIGNED,,ignore,
TempLangLabelCaptions,M-UNASSIGNED,,missing,
TempPayment,M2,,missing,
Trace,M0,ActivityLog,mapped,
Trace1,M0,,missing,
Type,M-UNASSIGNED,,missing,
UserApproval,M0,,missing,
UserBranches,M0,,missing,
UserDefinition,M0,User,mapped,
UserIn,M0,,missing,
Version,M0,,missing,
WeightD,M-UNASSIGNED,,missing,
WeightH,M-UNASSIGNED,,missing,
Workers,M-UNASSIGNED,,missing,
WorkShiftD,M-UNASSIGNED,,missing,
WorkShiftH,M-UNASSIGNED,,missing,
WriteComplain,M-UNASSIGNED,,missing,
Year,M0,Period,mapped,
